,code,station_name,line,color,opening,type,blk_no,road_name,building,address,postal,x,y,latitude,longitude,planning_area_ura,region_ura
0,NS10,Admiralty,North-South Line ,Red,10/02/1996,MRT,70,WOODLANDS AVENUE 7,ADMIRALTY MRT STATION (NS10),70 WOODLANDS AVENUE 7 ADMIRALTY MRT STATION (NS10) SINGAPORE 738344,738344,24402.38663,46918.5068,1.440588562,103.8009905,WOODLANDS,NORTH REGION
1,EW9,Aljunied,East-West Line,Green,4/11/1989,MRT,81,LORONG 25 GEYLANG,ALJUNIED MRT STATION (EW9),81 LORONG 25 GEYLANG ALJUNIED MRT STATION (EW9) SINGAPORE 388310,388310,33518.60487,33190.00202,1.316432612,103.882906,GEYLANG,CENTRAL REGION
2,NS16,Ang Mo Kio,North-South Line ,Red,7/11/1987,MRT,2795,ANG MO KIO AVENUE 8,ANG MO KIO MRT STATION (NS16),2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812,569812,29807.26115,39105.736,1.36993285,103.8495581,ANG MO KIO,NORTH-EAST REGION
3,SE3,Bakau,Sengkang LRT,Grey,18/01/2003,LRT,50,RIVERVALE DRIVE,BAKAU LRT STATION (SE3),50 RIVERVALE DRIVE BAKAU LRT STATION (SE3) SINGAPORE 545053,545053,36023.43334,41102.99669,1.387994311,103.9054153,SENGKANG,NORTH-EAST REGION
4,BP9,Bangkit,Bukit Panjang LRT,Grey,6/11/1999,LRT,20,BUKIT PANJANG RING ROAD,BANGKIT LRT STATION (BP9),20 BUKIT PANJANG RING ROAD BANGKIT LRT STATION (BP9) SINGAPORE 679939,679939,21248.05659,40221.44841,1.38002223,103.7726474,BUKIT PANJANG,WEST REGION
5,CC12,Bartley,Circle Line,Orange,28/05/2009,MRT,90,BARTLEY ROAD,BARTLEY MRT STATION (CC12),90 BARTLEY ROAD BARTLEY MRT STATION (CC12) SINGAPORE 539788,539788,33214.93397,36072.52553,1.342501178,103.8801779,TOA PAYOH,CENTRAL REGION
6,CE1,Bayfront,Circle Line Extension,Orange,14/01/2012,MRT,11,BAYFRONT AVENUE,BAYFRONT MRT STATION (DT16 / CE1),11 BAYFRONT AVENUE BAYFRONT MRT STATION (DT16 / CE1) SINGAPORE 018957,018957,30867.00927,29368.62503,1.281873789,103.8590798,DOWNTOWN CORE,CENTRAL REGION
7,DT16,Bayfront,Downtown Line,Blue,22/12/2013,MRT,11,BAYFRONT AVENUE,BAYFRONT MRT STATION (DT16 / CE1),11 BAYFRONT AVENUE BAYFRONT MRT STATION (DT16 / CE1) SINGAPORE 018957,018957,30867.00927,29368.62503,1.281873789,103.8590798,DOWNTOWN CORE,CENTRAL REGION
8,TE29,Bayshore,Thomson-East Coast Line,Brown,23/06/2024,MRT,31,BAYSHORE ROAD,BAYSHORE MRT STATION (TE29),31 BAYSHORE ROAD BAYSHORE MRT STATION (TE29) SINGAPORE 469958,469958,40129.68705,32824.19446,1.313122483,103.9423098,BEDOK,EAST REGION
9,DT5,Beauty World,Downtown Line,Blue,27/12/2015,MRT,101,UPPER BUKIT TIMAH ROAD,BEAUTY WORLD MRT STATION (DT5),101 UPPER BUKIT TIMAH ROAD BEAUTY WORLD MRT STATION (DT5) SINGAPORE 588216,588216,21598.16648,35931.23589,1.341223176,103.7757943,BUKIT TIMAH,CENTRAL REGION
10,EW5,Bedok,East-West Line,Green,4/11/1989,MRT,315,NEW UPPER CHANGI ROAD,BEDOK MRT STATION (EW5),315 NEW UPPER CHANGI ROAD BEDOK MRT STATION (EW5) SINGAPORE 467347,467347,38757.95205,34024.70478,1.323979969,103.9299845,BEDOK,EAST REGION
11,DT29,Bedok North,Downtown Line,Blue,21/10/2017,MRT,651,BEDOK NORTH ROAD,BEDOK NORTH MRT STATION (DT29),651 BEDOK NORTH ROAD BEDOK NORTH MRT STATION (DT29) SINGAPORE 479481,479481,37421.74382,35214.68039,1.334742117,103.9179783,BEDOK,EAST REGION
12,DT30,Bedok Reservoir,Downtown Line,Blue,21/10/2017,MRT,371,BEDOK NORTH AVENUE 3,BEDOK RESERVOIR MRT STATION (DT30),371 BEDOK NORTH AVENUE 3 BEDOK RESERVOIR MRT STATION (DT30) SINGAPORE 469724,469724,39008.31316,35421.04087,1.33660783,103.9322346,BEDOK,EAST REGION
13,DT21,Bencoolen,Downtown Line,Blue,21/10/2017,MRT,31,BENCOOLEN STREET,BENCOOLEN MRT STATION (DT21),31 BENCOOLEN STREET BENCOOLEN MRT STATION (DT21) SINGAPORE 189658,189658,29895.86395,31253.32587,1.298918434,103.8503538,ROCHOR,CENTRAL REGION
14,DT23,Bendemeer,Downtown Line,Blue,21/10/2017,MRT,11,KALLANG BAHRU,BENDEMEER MRT STATION (DT23),11 KALLANG BAHRU BENDEMEER MRT STATION (DT23) SINGAPORE 339356,339356,31300.76761,32884.77092,1.313672528,103.8629776,KALLANG,CENTRAL REGION
15,NS17,Bishan,North-South Line ,Red,7/11/1987,MRT,200,BISHAN ROAD,BISHAN MRT STATION (NS17),200 BISHAN ROAD BISHAN MRT STATION (NS17) SINGAPORE 579827,579827,29649.89881,36994.43302,1.350838988,103.848144,BISHAN,CENTRAL REGION
16,CC15,Bishan,Circle Line,Orange,28/05/2009,MRT,17,BISHAN PLACE,BISHAN MRT STATION (CC15),17 BISHAN PLACE BISHAN MRT STATION (CC15) SINGAPORE 579842,579842,29760.77555,37047.15733,1.351315801,103.8491403,BISHAN,CENTRAL REGION
17,NE9,Boon Keng,North East Line,Purple,20/06/2003,MRT,900,SERANGOON ROAD,BOON KENG MRT STATION (NE9),900 SERANGOON ROAD BOON KENG MRT STATION (NE9) SINGAPORE 328260,328260,31144.04501,33510.97461,1.319335709,103.8615695,KALLANG,CENTRAL REGION
18,EW27,Boon Lay,East-West Line,Green,6/07/1990,MRT,301,BOON LAY WAY,BOON LAY MRT STATION (EW27),301 BOON LAY WAY BOON LAY MRT STATION (EW27) SINGAPORE 649846,649846,13837.98272,35641.91912,1.338604055,103.7060646,JURONG WEST,WEST REGION
19,CC19,Botanic Gardens,Circle Line,Orange,8/10/2011,MRT,100,CLUNY PARK ROAD,BOTANIC GARDENS MRT STATION (CC19),100 CLUNY PARK ROAD BOTANIC GARDENS MRT STATION (CC19) SINGAPORE 257494,257494,25959.6005,33818.14422,1.322113736,103.8149845,TANGLIN,CENTRAL REGION
20,DT9,Botanic Gardens,Downtown Line,Blue,27/12/2015,MRT,491,BUKIT TIMAH ROAD,BOTANIC GARDENS MRT STATION (DT9),491 BUKIT TIMAH ROAD BOTANIC GARDENS MRT STATION (DT9) SINGAPORE 259777,259777,26074.17209,33859.53548,1.322488071,103.816014,TANGLIN,CENTRAL REGION
21,NS18,Braddell,North-South Line ,Red,7/11/1987,MRT,377,LORONG 1 TOA PAYOH,BRADDELL MRT STATION (NS18),377 LORONG 1 TOA PAYOH BRADDELL MRT STATION (NS18) SINGAPORE 319756,319756,29500.23495,35847.77198,1.340469001,103.8467991,TOA PAYOH,CENTRAL REGION
