YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2023-09,WEEKENDS/HOLIDAY,6,TRAIN,CC23,170,1283
2023-09,WEEKDAY,6,TRAIN,CC23,873,13669
2023-09,WEEKDAY,14,TRAIN,SE2,3841,5439
2023-09,WEEKENDS/HOLIDAY,14,TRAIN,SE2,2776,2805
2023-09,WEEKDAY,23,TRAIN,NS18,1865,9572
2023-09,WEEKENDS/HOLIDAY,23,TRAIN,NS18,1014,5431
2023-09,WEEKENDS/HOLIDAY,15,TRAIN,EW14/NS26,13553,12703
2023-09,WEEKDAY,15,TRAIN,EW14/NS26,47163,29190
2023-09,WEEKDAY,7,TRAIN,PW4,14403,2178
2023-09,WEEKENDS/HOLIDAY,7,TRAIN,PW4,1698,593
2023-09,WEEKENDS/HOLIDAY,9,TRAIN,BP12,1682,677
2023-09,WEEKDAY,9,TRAIN,BP12,4223,1210
2023-09,WEEKDAY,15,TRAIN,EW15,31419,19557
2023-09,WEEKENDS/HOLIDAY,15,TRAIN,EW15,14682,10599
2023-09,WEEKENDS/HOLIDAY,23,TRAIN,DT2,82,560
2023-09,WEEKDAY,23,TRAIN,DT2,112,1131
2023-09,WEEKDAY,16,TRAIN,BP3,3031,4277
2023-09,WEEKENDS/HOLIDAY,16,TRAIN,BP3,2117,2093
2023-09,WEEKENDS/HOLIDAY,15,TRAIN,SW8,895,891
2023-09,WEEKDAY,15,TRAIN,SW8,2010,2233
2023-09,WEEKENDS/HOLIDAY,17,TRAIN,DT10/TE11,4689,3777
2023-09,WEEKDAY,17,TRAIN,DT10/TE11,11397,10571
2023-09,WEEKENDS/HOLIDAY,22,TRAIN,PW5,411,2766
2023-09,WEEKDAY,22,TRAIN,PW5,515,3580
2023-09,WEEKENDS/HOLIDAY,6,TRAIN,NE15,4225,1220
2023-09,WEEKDAY,6,TRAIN,NE15,30060,5295
2023-09,WEEKENDS/HOLIDAY,0,TRAIN,TE6,21,845
2023-09,WEEKDAY,0,TRAIN,TE6,67,1102
2023-09,WEEKDAY,21,TRAIN,NE16/STC,25893,52536
2023-09,WEEKENDS/HOLIDAY,21,TRAIN,NE16/STC,13185,23666
2023-09,WEEKDAY,10,TRAIN,EW31,1166,1145
2023-09,WEEKENDS/HOLIDAY,10,TRAIN,EW31,1186,397
2023-09,WEEKENDS/HOLIDAY,9,TRAIN,NS12,9382,4317
2023-09,WEEKDAY,9,TRAIN,NS12,20508,7725
2023-09,WEEKDAY,19,TRAIN,PE1,2979,9110
2023-09,WEEKENDS/HOLIDAY,19,TRAIN,PE1,1458,2651
2023-09,WEEKDAY,20,TRAIN,DT23,4749,3140
2023-09,WEEKENDS/HOLIDAY,20,TRAIN,DT23,1485,1249
2023-09,WEEKDAY,20,TRAIN,PW6,528,2180
2023-09,WEEKENDS/HOLIDAY,20,TRAIN,PW6,270,872
2023-09,WEEKDAY,19,TRAIN,EW30,10362,2760
2023-09,WEEKENDS/HOLIDAY,19,TRAIN,EW30,2011,1449
2023-09,WEEKDAY,17,TRAIN,TE14/NS22,113299,79892
2023-09,WEEKENDS/HOLIDAY,17,TRAIN,TE14/NS22,70171,51821
2023-09,WEEKENDS/HOLIDAY,23,TRAIN,NS9/TE2,7203,18066
